method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,140,15.0,0.0,40.0,0.0,9,26.51950739173465,8.522680383505357,14.857007390693326,6.892107643433916,11.66250000104132,8.387401514340645
random,140,15.0,0.0,40.0,0.0,10,26.60841735969903,8.065559707860006,13.53343319801155,6.512062712387274,13.074984161687482,8.827581966274549
fixed_dumb,140,15.0,0.0,40.0,0.0,10,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,10,24.21730023512079,10.501619060640305,15.003506253696013,7.548054407439961,9.21379398142477,7.941993056625872
bo_marginal_random,140,15.0,0.0,40.0,0.0,10,26.086244889243368,8.66847907784832,14.261157578444475,7.251129616697609,11.82508731079889,9.070622856113264
random,140,15.0,0.0,40.0,0.0,11,25.66244431138709,8.799611888552255,13.38312044565662,5.940651594891069,12.279323865730467,8.086208653129903
fixed_dumb,140,15.0,0.0,40.0,0.0,11,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,11,26.025953792849165,8.804661517444774,14.873363541045391,5.304514565401912,11.15259025180377,8.104956092181283
bo_marginal_random,140,15.0,0.0,40.0,0.0,11,25.965638098685805,8.677198769769218,14.418977934215329,7.347372826411644,11.546660164470476,8.934831077534827
random,140,15.0,0.0,40.0,0.0,12,26.157818589751272,9.131643085246461,12.544571222934271,6.627748673633441,13.613247366817001,8.896312558217085
fixed_dumb,140,15.0,0.0,40.0,0.0,12,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,12,26.11147233500193,10.580226038603202,15.184764570980542,7.183169383036726,10.926707764021383,5.849801718374565
bo_marginal_random,140,15.0,0.0,40.0,0.0,12,26.830591434750513,7.970732144811185,15.469387946143966,6.350080267384565,11.361203488606549,8.148356196906477
random,140,15.0,0.0,40.0,0.0,13,25.34231748048921,9.042592162080403,12.576331961702019,6.441253786832511,12.76598551878719,8.187761159084735
fixed_dumb,140,15.0,0.0,40.0,0.0,13,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,13,31.050025437831884,6.572103057875978,17.189381211636913,5.751764198661261,13.86064422619497,9.04549750831506
