method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
bo_marginal_random,10,15.0,0.0,40.0,0.0,26,36.23857968724552,4.948347280869531,20.69063258042137,4.799260608482409,15.547947106824148,5.427160600318563
random,10,15.0,0.0,40.0,0.0,27,24.197409828591766,7.145457963517075,14.032895472686416,5.3876770684106186,10.164514355905348,5.358586774246431
fixed_dumb,10,15.0,0.0,40.0,0.0,27,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,27,16.674049326734682,10.51260086251604,9.889436064636213,7.063211106263781,6.784613262098475,3.449389756252261
bo_marginal_random,10,15.0,0.0,40.0,0.0,27,27.436298413285137,8.868232495640143,10.47137146399852,7.377512316421574,16.964926949286614,8.249732031853684
random,10,15.0,0.0,40.0,0.0,28,27.123148248816882,8.890110280917785,13.35738373918297,6.3895389446619815,13.765764509633915,8.960077585170103
fixed_dumb,10,15.0,0.0,40.0,0.0,28,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,28,23.073860966647278,16.91241250242863,12.87870150236552,10.052476543993086,10.195159464281762,6.859935958435547
bo_marginal_random,10,15.0,0.0,40.0,0.0,28,29.254947247211867,8.94167660821233,17.908581383501108,6.9138978991895605,11.346365863710755,9.870976767950907
random,10,15.0,0.0,40.0,0.0,29,26.083783528726308,7.7759539498356025,13.124662896845374,6.489694349756109,12.959120631880932,9.40456728886008
fixed_dumb,10,15.0,0.0,40.0,0.0,29,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,29,29.696404535696338,2.509754346445611,19.57486322973235,2.6222160588323593,10.121541305963985,0.11246171238674928
bo_marginal_random,10,15.0,0.0,40.0,0.0,29,32.09296264562141,9.634277137885423,13.59859547052489,7.8898763892882515,18.49436717509652,10.696072097947743
random,10,15.0,0.0,40.0,0.0,30,29.273519305979573,8.967885080677807,13.614836377005869,5.381756330648782,15.6586829289737,7.932825926544828
fixed_dumb,10,15.0,0.0,40.0,0.0,30,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,30,29.696404535696338,2.509754346445611,19.57486322973235,2.6222160588323593,10.121541305963985,0.11246171238674928
bo_marginal_random,10,15.0,0.0,40.0,0.0,30,31.535845304154414,8.253223284950558,16.405639547764974,7.23969329504014,15.130205756389438,8.582244798519339
