method,budget,replicate,seed,design_space,abc_k_requested,abc_k_used,validation,n_obs,noise_std,flow_samples_per_pair,posterior_samples,ode_steps,fmpe_max_iter,reward_mode,coverage_weight,predictive_weight,raw_rmse,range_normalized_rmse,prior_std_normalized_rmse,coverage_error,posterior_mean_predictive_rmse,posterior_quality_objective,validation_log_posterior,rmse_alpha,range_normalized_rmse_alpha,prior_std_normalized_rmse_alpha,rmse_beta,range_normalized_rmse_beta,prior_std_normalized_rmse_beta,rmse_gamma,range_normalized_rmse_gamma,prior_std_normalized_rmse_gamma,rmse_delta,range_normalized_rmse_delta,prior_std_normalized_rmse_delta
prior_mean,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,230,1,10717,wide_window,,15,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16241811536572,0.22987119277668758,0.7962971701713656,0.07750000000000003,0.9478258967444432,-0.3440287824511319,,0.22965313736145418,0.22965313736145418,0.795541804055266,0.015015247455503306,0.25025412425838844,0.8669057160383676,0.2288946514878484,0.2288946514878484,0.792914331915449,0.012640971479943558,0.2106828579990593,0.7298268286763795
gaussian_npe,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16000727533612735,0.2192616219768143,0.7595445388276062,0.12500000000000003,0.9472091217036568,-0.34523253414718,6.275445016248337,0.22615869971704974,0.22615869971704974,0.7834367169672863,0.013282333061962664,0.22137221769937776,0.766855856879041,0.22568910472453274,0.22568910472453274,0.7818099921952476,0.012229587945977824,0.20382646576629707,0.70607558926885
rectified_fmpe,230,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.17833723916004923,0.24722024008928892,0.8563960329880491,0.3458333333333334,0.979910574136954,-0.43166963083631765,,0.24525917589257393,0.24525917589257393,0.8496027073368199,0.014352435424494771,0.23920725707491286,0.8286382455858777,0.258147820979231,0.258147820979231,0.8942502835984459,0.014776002384626275,0.24626670641043794,0.8530928954310533
prior_mean,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,500,1,10717,wide_window,,22,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16249658917534518,0.22621304312545445,0.7836249680561133,0.04916666666666671,0.9653493166946728,-0.33503964146158843,,0.23513072970928206,0.23513072970928206,0.8145167405544427,0.015049191129267388,0.25081985215445646,0.8688654549568655,0.223540219944074,0.223540219944074,0.7743660369565155,0.011721682241640318,0.1953613706940053,0.6767516397566293
gaussian_npe,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.1507405112669897,0.2061525696685939,0.7141334495537746,0.22583333333333333,0.9270856773266569,-0.3553194707345929,6.02746794663757,0.2178119771708927,0.2178119771708927,0.7545228219140371,0.012020018563600314,0.20033364272667192,0.693976095335894,0.20775495357217819,0.20775495357217819,0.7196842702222516,0.011922582312277967,0.1987097052046328,0.6883506107429155
rectified_fmpe,500,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.14086932939786642,0.20205255189144913,0.6999305713498738,0.31583333333333335,0.9012388245041546,-0.37113476767519793,,0.22149296441866387,0.22149296441866387,0.7672741357843426,0.013725967725739693,0.2287661287623282,0.7924691161343926,0.17322323336941509,0.17322323336941509,0.6000628824943749,0.011083672860923358,0.1847278810153893,0.639916150986385
prior_mean,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
abc_knn,1000,1,10717,wide_window,,31,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.16094259430030392,0.22638996022306312,0.7842378268596848,0.033333333333333326,0.9434642340261276,-0.3290697169590092,,0.23107262845896695,0.23107262845896695,0.8004590654588336,0.01525880583951447,0.25431343065857454,0.8809675658955913,0.22325565517353033,0.22325565517353033,0.7733802756752639,0.011815087596070837,0.19691812660118063,0.6821444004090506
gaussian_npe,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.13074390623876955,0.1707262307364328,0.5914130116404578,0.1491666666666667,0.7945922396209253,-0.287477121365192,7.184767981840423,0.19930788512884184,0.19930788512884184,0.690422766784511,0.010384675909324221,0.17307793182207037,0.5995595431695361,0.1687365795573818,0.1687365795573818,0.5845206577775465,0.008506951586246227,0.14178252643743713,0.49114907883023734
rectified_fmpe,1000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.14728075184543496,0.18758210944512793,0.6498034882998146,0.2275,0.9194249495354194,-0.3363996043986699,,0.2280620018002984,0.2280620018002984,0.7900299487879631,0.011737304357105327,0.19562173928508877,0.6776535830135327,0.18586309052527608,0.18586309052527608,0.6438486320831035,0.008446896370190906,0.14078160616984844,0.4876817893146593
prior_mean,2000,1,10717,wide_window,,,100,10,0.06,3,32,8,220,rmse_coverage_predictive,0.25,0.1,0.20711464223240025,0.29133207177382225,1.0092039003731257,0.017500000000000054,1.090675586458754,-0.4047746304196977,,0.29612457092952965,0.29612457092952965,1.025805604438958,0.017934799183301178,0.2989133197216863,1.0354661136340815,0.28859802397892315,0.28859802397892315,0.9997328809909519,0.01690154234790899,0.28169237246514983,0.9758110024285114
